,ПІБ,Партія,Округ,Область,Рада,Відомості,Дата реєстрації,% голосів за
49,Магуй Наталія Сергіївна,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",Перший кандидат,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 22.01.1968 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Фізична особа - підприємець, Фізична особа- підприємець, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,
50,Чумак Павло Павлович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",21,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 27.01.1981 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська філія Державного Підприємства ""Житомирський лікеро-горілчаний завод"", Начальник цеху, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  38,7755"
51,Данилюк Анатолій Олексійович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",20,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 02.01.1973 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська філія Державного Підприємства ""Житомирський лікеро-горілчаний завод"", Менеджер з постачання, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  32,9545"
52,Захарчук Лариса Миколаївна,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",22,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 09.11.1967 р., освіта вища, безпартійна, Управління фінансів Чуднівської райдержадміністрації, Начальник, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  23,2323"
53,Філоненко Жанна Миколаївна,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",19,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 10.10.1977 р., освіта вища, безпартійна, Чуднівська філія Державного Підприємства ""Житомирський лікеро-горілчаний завод"", Провідний юрисконсульт, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  22,2222"
54,Лабунець Олег Миколайович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",11,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 17.11.1962 р., освіта професійно-технічна, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Військова частина А1979, Начальник команди сторожової охорони, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  15,5404"
55,Зотько Олена Павлівна,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",12,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 20.05.1963 р., освіта вища, безпартійна, Управління праці і соціального захисту населення, начальник, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  15,5037"
56,Загоненко Наталія Павлівна,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",15,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 14.08.1960 р., освіта вища, безпартійна, Чуднівська райдержадміністрація, Заступник голови, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  14,6067"
57,Захарченко Світлана Володимирівна,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",9,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 05.10.1959 р., освіта вища, безпартійна, Сектор культури Чуднівської райдержадміністрації, Завідувач сектору культури, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  13,7973"
58,Данилюк Анатолій Леонідович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",18,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 04.03.1967 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська філія Державного Підприємства ""Житомирський лікеро-горілчаний завод"", Начальник спиртового цеху, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  13,7500"
59,Рудніцька Рита Володимирівна,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",5,Житомирська область,Чуднівська міська рада,"Громадянка України, народилася 16.05.1992 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська філія Державного Підприємства ""Житомирський лікеро-горілчаний завод"", Бухгалтер, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  13,4831"
60,Дєвушкін Микола Васильович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",10,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 10.03.1954 р., освіта професійно-технічна, безпартійний, Приватне підприємство ""ДМВ+Д"", директор, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  12,5000"
61,Момот Анатолій Миколайович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",14,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 13.05.1959 р., освіта професійно-технічна, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська філія Державного Підприємства ""Житомирський лікеро-горілчаний завод"", інженер з транспорту, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  12,4031"
62,Тринос Сергій Вікторович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",1,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 12.04.1973 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська амбулаторія Комунальної установи Чуднівського центру первинної медико-санітарної допомоги с. Вільшанка, Лікар загальної практики сімейної медицини, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  12,3809"
63,Шваб Сергій Олександрович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",2,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 24.10.1978 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська філія Державного Підприємства ""Житомирський лікеро-горілчаний завод"", Організатор з постачання, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  11,0169"
64,Осадчук Володимир Степанович,"ПОЛІТИЧНА ПАРТІЯ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"" (ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"")",13,Житомирська область,Чуднівська міська рада,"Громадянин України, народився 22.02.1960 р., освіта вища, член ПОЛІТИЧНОЇ ПАРТІЇ ""ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ"", Чуднівська експлуатаційна дільниця Житомирського міжрайонного управління водного господарства, Начальник, місце проживання: м.Чуднів, Чуднівський р-н, Житомирська обл.;",01.10.2015,"  10,5882"
